"Geographic Area Name (NAME)","Vintage Month Description (MONTH_DESC)","Vintage Year (YEAR)","Age Group (AGE_DESC)","Universe Description (UNIVERSE_DESC)","Sex (SEX_DESC)","Population Estimate (POP)"
"New Jersey","July","2023","Age 15-44","Resident Population","Male","1,801,549"
"New Jersey","July","2023","Age 15-44","Resident Population","Female","1,760,777"
"New Jersey","July","2023","Age 16 and older","Resident Population","Male","3,668,404"
"New Jersey","July","2023","Age 16 and older","Resident Population","Female","3,855,832"
"New Jersey","July","2023","Age 18-24","Resident Population","Male","394,235"
"New Jersey","July","2023","Age 18-24","Resident Population","Female","378,022"
"New Jersey","July","2023","Age 18 and older","Resident Population","Male","3,543,959"
"New Jersey","July","2023","Age 18 and older","Resident Population","Female","3,736,592"
"New Jersey","July","2023","Age 20-24","Resident Population","Male","280,298"
"New Jersey","July","2023","Age 20-24","Resident Population","Female","272,063"
"New Jersey","July","2023","Age 25-29","Resident Population","Male","288,292"
"New Jersey","July","2023","Age 25-29","Resident Population","Female","283,418"
"New Jersey","July","2023","Age 25-44","Resident Population","Male","1,220,579"
"New Jersey","July","2023","Age 25-44","Resident Population","Female","1,203,543"
"New Jersey","July","2023","Age 30-34","Resident Population","Male","311,859"
"New Jersey","July","2023","Age 30-34","Resident Population","Female","306,901"
"New Jersey","July","2023","Age 35-39","Resident Population","Male","312,852"
"New Jersey","July","2023","Age 35-39","Resident Population","Female","306,245"
"New Jersey","July","2023","Age 40-44","Resident Population","Male","307,576"
"New Jersey","July","2023","Age 40-44","Resident Population","Female","306,979"
"New Jersey","July","2023","Age 45-49","Resident Population","Male","286,906"
"New Jersey","July","2023","Age 45-49","Resident Population","Female","289,859"
"New Jersey","July","2023","Age 45-64","Resident Population","Male","1,198,584"
"New Jersey","July","2023","Age 45-64","Resident Population","Female","1,237,244"
"New Jersey","July","2023","Age 50-54","Resident Population","Male","301,495"
"New Jersey","July","2023","Age 50-54","Resident Population","Female","308,848"
"New Jersey","July","2023","Age 55-59","Resident Population","Male","306,384"
"New Jersey","July","2023","Age 55-59","Resident Population","Female","320,125"
"New Jersey","July","2023","Age 60-64","Resident Population","Male","303,799"
"New Jersey","July","2023","Age 60-64","Resident Population","Female","318,412"
"New Jersey","July","2023","Age 65-69","Resident Population","Male","253,694"
"New Jersey","July","2023","Age 65-69","Resident Population","Female","280,501"
"New Jersey","July","2023","Age 65 and older","Resident Population","Male","730,561"
"New Jersey","July","2023","Age 65 and older","Resident Population","Female","917,783"
"New Jersey","July","2023","Age 70-74","Resident Population","Male","190,605"
"New Jersey","July","2023","Age 70-74","Resident Population","Female","224,739"
"New Jersey","July","2023","Age 75-79","Resident Population","Male","138,352"
"New Jersey","July","2023","Age 75-79","Resident Population","Female","175,129"
"New Jersey","July","2023","Age 80-84","Resident Population","Male","81,852"
"New Jersey","July","2023","Age 80-84","Resident Population","Female","116,767"
"New Jersey","July","2023","85 years and over","Resident Population","Male","66,058"
"New Jersey","July","2023","85 years and over","Resident Population","Female","120,647"
"New Mexico","July","2023","Age under 5","Resident Population","Male","55,033"
"New Mexico","July","2023","Age under 5","Resident Population","Female","52,288"
"New Mexico","July","2023","Age 5-9","Resident Population","Male","62,778"
"New Mexico","July","2023","Age 5-9","Resident Population","Female","60,234"
